,genre,popularity
132,Sci-fi,223.8
133,Sci-fi,190.4
134,Sci-fi,163.6
135,Sci-fi,153.6
136,Sci-fi,151.7
137,Sci-fi,147.2
138,Sci-fi,128.9
139,Sci-fi,125.2
140,cute,632.9
141,cute,469.6
142,cute,444.9
143,cute,421.9
144,cute,293.5
145,cute,247.5
146,cute,238.4
147,cute,232.6
148,cute,210.4
149,cute,201.4
150,cute,199.1
151,cute,193.8
152,cute,189.9
153,cute,185.2
154,cute,167.3
155,cute,163.9
156,cute,160.7
157,cute,147.2
158,cute,144.2
159,cute,136.0
160,heal,597.7
161,heal,382.9
162,heal,355.9
163,heal,296.4
164,heal,293.5
165,heal,269.3
166,heal,260.3
167,heal,243.6
168,heal,238.4
169,heal,230.3
170,heal,210.8
171,heal,207.6
172,heal,201.4
173,heal,196.1
174,heal,193.8
175,heal,177.4
176,heal,167.3
177,heal,164.3
178,heal,163.9
179,heal,138.5
180,school,691.7
181,school,632.7
182,school,624.3
183,school,598.2
184,school,577.4
185,school,514.7
186,school,509.5
187,school,505.6
188,school,477.6
189,school,460.2
190,school,446.3
191,school,435.0
192,school,382.9
193,school,373.8
194,school,363.1
195,school,346.8
196,school,346.3
197,school,345.2
198,school,339.3
199,school,328.3
200,kids,102.8
201,kids,32.0
202,kids,31.2
203,kids,22.6
204,kids,16.8
205,kids,11.7
206,kids,8.5
207,kids,8.4
208,kids,7.4
209,kids,6.8
210,kids,6.7
211,kids,6.6
212,kids,6.6
213,kids,6.5
214,kids,6.3
215,kids,6.0
216,kids,6.0
217,kids,5.6
218,kids,5.6
219,kids,5.4
220,short,164.7
221,short,149.2
222,short,111.9
223,short,108.7
224,short,99.0
225,short,71.5
226,short,68.8
227,short,65.6
228,short,63.1
229,short,58.1
230,short,41.8
231,short,41.3
232,short,27.8
233,short,27.2
234,short,26.2
235,short,25.9
236,short,24.1
237,short,22.0
238,short,20.8
239,short,20.3
240,shoujo ai,691.7
241,shoujo ai,645.3
242,shoujo ai,624.3
243,shoujo ai,598.2
244,shoujo ai,514.7
245,shoujo ai,509.5
246,shoujo ai,477.6
247,shoujo ai,466.0
248,shoujo ai,460.2
249,shoujo ai,443.8
250,shoujo ai,413.6
251,shoujo ai,388.2
252,shoujo ai,373.8
253,shoujo ai,369.3
254,shoujo ai,364.2
255,shoujo ai,346.3
256,shoujo ai,345.2
257,shoujo ai,339.3
258,shoujo ai,325.0
259,shoujo ai,322.5
260,magic,443.8
261,magic,319.9
262,magic,296.1
263,magic,279.2
264,magic,230.3
265,magic,227.7
266,magic,213.9
267,magic,207.6
268,magic,193.8
269,magic,185.2
270,magic,164.9
271,magic,160.2
272,magic,146.5
273,magic,120.4
274,magic,119.3
275,magic,115.3
276,magic,110.1
277,magic,105.3
278,magic,103.2
279,magic,101.8
280,adventure,626.0
281,adventure,616.3
282,adventure,560.1
283,adventure,486.4
284,adventure,472.3
285,adventure,427.8
286,adventure,382.6
287,adventure,291.5
288,adventure,279.2
289,adventure,273.8
290,adventure,262.8
291,adventure,232.6
292,adventure,220.2
293,adventure,203.0
294,adventure,201.0
295,adventure,192.2
296,adventure,189.9
297,adventure,180.7
298,adventure,171.8
299,adventure,160.9
300,history,921.4
301,history,783.8
302,history,616.5
303,history,616.3
304,history,510.7
305,history,474.1
306,history,466.0
307,history,437.2
308,history,433.5
309,history,428.9
310,history,427.8
311,history,395.7
312,history,389.6
313,history,382.6
314,history,375.8
315,history,364.0
316,history,295.1
317,history,283.1
318,history,275.6
319,history,273.8
320,fake history,127.0
321,fake history,63.1
322,fake history,51.4
323,fake history,42.1
324,fake history,38.7
325,fake history,37.2
326,fake history,34.9
327,fake history,29.0
328,fake history,27.7
329,fake history,25.5
330,fake history,20.3
331,fake history,19.7
332,fake history,19.0
333,fake history,18.8
334,fake history,16.3
335,fake history,15.7
336,fake history,14.3
337,fake history,13.5
338,fake history,11.5
339,fake history,10.6
340,mecha,626.0
341,mecha,616.5
342,mecha,616.3
343,mecha,597.7
344,mecha,560.1
345,mecha,540.9
346,mecha,510.7
347,mecha,486.4
348,mecha,474.1
349,mecha,472.3
350,mecha,469.6
351,mecha,437.2
352,mecha,427.8
353,mecha,382.6
354,mecha,355.1
355,mecha,298.3
356,mecha,294.8
357,mecha,294.2
358,mecha,289.3
359,mecha,288.6
360,demon,180.7
361,demon,125.2
362,demon,80.8
363,demon,74.4
364,demon,59.5
365,demon,54.5
366,demon,50.0
367,demon,49.9
368,demon,48.9
369,demon,46.6
370,demon,43.0
371,demon,42.8
372,demon,42.5
373,demon,42.4
374,demon,40.6
375,demon,40.3
376,demon,36.8
377,demon,35.0
378,demon,33.9
379,demon,31.3
380,sound,369.3
381,sound,274.6
382,sound,260.3
383,sound,259.9
384,sound,243.6
385,sound,227.7
386,sound,221.7
387,sound,221.5
388,sound,204.4
389,sound,189.6
390,sound,185.8
391,sound,164.3
392,sound,160.9
393,sound,160.5
394,sound,152.4
395,sound,149.0
396,sound,140.6
397,sound,135.1
398,sound,119.3
399,sound,119.1
400,sports,921.4
401,sports,706.7
402,sports,477.6
403,sports,428.9
404,sports,339.3
405,sports,332.7
406,sports,279.3
407,sports,256.6
408,sports,234.9
409,sports,191.4
410,sports,188.7
411,sports,162.7
412,sports,150.6
413,sports,147.2
414,sports,135.1
415,sports,133.3
416,sports,119.3
417,sports,117.9
418,sports,117.5
419,sports,95.8
420,inspire,279.3
421,inspire,163.6
422,inspire,153.7
423,inspire,124.6
424,inspire,121.8
425,inspire,85.6
426,inspire,81.7
427,inspire,78.6
428,inspire,78.0
429,inspire,74.4
430,inspire,62.7
431,inspire,59.9
432,inspire,50.9
433,inspire,49.6
434,inspire,49.4
435,inspire,46.7
436,inspire,44.3
437,inspire,43.8
438,inspire,42.6
439,inspire,40.3
440,music,921.4
441,music,783.8
442,music,597.7
443,music,437.2
444,music,322.5
445,music,295.1
446,music,294.2
447,music,275.6
448,music,268.4
449,music,223.8
450,music,199.9
451,music,150.4
452,music,135.1
453,music,121.8
454,music,115.3
455,music,113.3
456,music,111.3
457,music,92.7
458,music,86.4
459,music,83.1
460,reasoning,443.8
461,reasoning,223.8
462,reasoning,162.7
463,reasoning,150.4
464,reasoning,145.2
465,reasoning,115.3
466,reasoning,114.1
467,reasoning,107.7
468,reasoning,100.4
469,reasoning,86.4
470,reasoning,80.6
471,reasoning,79.0
472,reasoning,78.1
473,reasoning,76.6
474,reasoning,76.0
475,reasoning,74.8
476,reasoning,64.8
477,reasoning,62.4
478,reasoning,59.9
